"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5482","Account Registration @master @sanity @regression","chromium","2026-04-10","passed","2026-04-10","Group Test","account-registration.spec.ts","",""
"","4062","Login test @login","chromium","2026-04-10","passed","2026-04-10","","login.spec.ts","",""
"","4560","Account Registration","chromium","2026-04-09","passed","2026-04-09","Group Test","account-registration.spec.ts","",""
"","5186","Login test","chromium","2026-04-10","passed","2026-04-10","","login.spec.ts","",""
"","1","Account Registration","chromium","2026-04-09","skipped","2026-04-09","","account-registration.spec.ts","",""
"","6144","LogOut Test","chromium","2026-04-13","passed","2026-04-13","","logout.spec.ts","",""
"","4971","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-04-13","passed","2026-04-13","","login-data-driven.spec.ts","",""
"","4272","Login test @master @sanity @regression","chromium","2026-04-10","passed","2026-04-10","","login.spec.ts","",""
"","3528","Login Test with CSV Data: Valid login @datadriven","chromium","2026-04-13","passed","2026-04-13","","login-data-driven.spec.ts","",""
"","3192","Search result test","chromium","2026-04-18","passed","2026-04-18","","search-product.spec.ts","",""
"","5210","Search Result Test","chromium","2026-04-22","passed","2026-04-22","","search-product.spec.ts","",""
"","3408","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-04-13","passed","2026-04-13","","login-data-driven.spec.ts","",""
"","4380","Login Test with JSON Data: Valid login @datadriven","chromium","2026-04-13","passed","2026-04-13","","login-data-driven.spec.ts","",""
